ID,lang,Date,Source,len,Orig_Tweet,Tweet,Likes,RTs,Hashtags,UserMentionNames,UserMentionID,Name,Place,Followers,Friends
1013564705909215232,en,2018-07-01 23:27:11,Twitter for Android,144,"RT @BlackYellow: Thomas Delaney &amp; Denmark take on Croatia in the Knockout Stage

?? vs ?? - Today, 2 PM ET
#BoRUSSIA2018 #WorldCup https://…",Thomas Delaney Denmark take on Croatia in the Knockout Stage vs Today PM ET https,0,25,"BoRUSSIA2018,WorldCup",Borussia Dortmund ????,BlackYellow,Manuel Jesús,Cádiz-Sevilla-Mundo,528,506
1013564705267429377,en,2018-07-01 23:27:11,Twitter for iPhone,66,RT @TrollFootball: The #WorldCup of upsets https://t.co/lY4CU7fWYU,The of upsets,0,9805,WorldCup,Troll Football,TrollFootball,Sinan Y?lmaz,"?stanbul, Türkiye",148,87
1013564703027679232,en,2018-07-01 23:27:10,Twitter for iPhone,140,RT @MirrorFootball: 'You should not get paid to play for your country' - How Mbappe is giving away ALL of his #worldcup fees from France to…,You should not get paid to play for your country How Mbappe is giving away ALL of his fees from France to,0,499,worldcup,Mirror Football,MirrorFootball,Dave ?Potts,The London Stadium,1035,1756
1013564702192959488,en,2018-07-01 23:27:10,Twitter for Android,66,RT @TrollFootball: The #WorldCup of upsets https://t.co/lY4CU7fWYU,The of upsets,0,9805,WorldCup,Troll Football,TrollFootball,??Simoes/^-^/??,"Coimbra, Portugal",77,245
1013564701731704837,en,2018-07-01 23:27:10,Twitter for Android,92,"RT @BBCMOTD: Peter Schmeichel couldn't be prouder ??

#DEN #WorldCup https://t.co/cJFeclK2h3",Peter Schmeichel could not be prouder,0,477,"DEN,WorldCup",Match of the Day,BBCMOTD,roger sookdeo,Trinidad,173,167
1013564699588419585,en,2018-07-01 23:27:10,Twitter for iPhone,78,"RT @EASPORTSFIFA: Penalties and more 

#MOTM #WorldCup https://t.co/iuLGXcZdxE",Penalties and more,0,168,"MOTM,WorldCup",EA SPORTS FIFA,EASPORTSFIFA,Gustavo,"Silver Spring, MD",19,21
1013564698791497728,en,2018-07-01 23:27:09,Twitter for Android,114,It's coming home it's coming home Football's coming home hopefully @England #WorldCup #ENG https://t.co/cfz8kZoFUP,Its coming home its coming home Footballs coming home hopefully,0,0,"WorldCup,ENG",England,England,Jorge,"Newark,London,Madrid",69,457
1013564698334318593,en,2018-07-01 23:27:09,SocialFlow,141,New #WorldCup podcast: @GrantWahl recaps a shootout-filled Sunday with @BrianStraus and is then joined by @IanWright0 https://t.co/y5qtBG94IH,New podcast recaps shootout filled Sunday with and is then joined by,9,1,WorldCup,"Grant Wahl,?????? ??????,Ian Wright","GrantWahl,BrianStraus,IanWright0",Sports Illustrated,"New York, NY",1764492,2179
1013564697415733248,en,2018-07-01 23:27:09,Twitter for Android,140,"RT @TheSporTalk: FIFA World Cup 2018 Predictions: Who will win today’s ????

#BEL Vs.  #JPN  game ?

#WorldCup #WorldCup2018 
#WorldCupRuss…",FIFA World Cup Predictions Who will win today Vs game,0,8,"BEL,JPN,WorldCup,WorldCup2018",FIFA World Cup ?,TheSporTalk,Ruan Antunes,"Durban, South africa",468,2880
1013564696484569088,en,2018-07-01 23:27:09,Twitter for iPhone,140,"RT @SBNation: After two days of the #WorldCup Round of 16: 

OUT: 
? Argentina
? Portugal
? Spain
? Denmark

Moving on: 
? France
? Uruguay…",After two days of the Round of OUT Argentina Portugal Spain Denmark Moving on France Uruguay,0,229,WorldCup,SB Nation,SBNation,Joshua Taylor,"Orlando, FL",141,769
