ID,lang,Date,Source,len,Orig_Tweet,Tweet,Likes,RTs,Hashtags,UserMentionNames,UserMentionID,Name,Place,Followers,Friends
1013596868645801986,en,2018-07-02 01:34:59,Twitter for iPhone,139,"RT @BBCMOTD: One of these nations will be in the #WorldCup final on July 15th:

#RUS 
#CRO 
#DEN 
#SWE 
#SUI 
#COL 
#ENG 

How about that?…",One of these nations will be in the final on July th How about that,0,1074,"WorldCup,RUS,CRO,DEN,SWE,SUI,COL,ENG",Match of the Day,BBCMOTD,Tim,"Perth, Western Australia",317,221
1013596867714781186,en,2018-07-02 01:34:59,Twitter for iPhone,140,"RT @Castro1021: This #WorldCup is so unpredictable man. After 3 knockout stage matches......

Messi and Ronaldo out.
Spain out.

Not to men…",This is so unpredictable man After knockout stage matches Messi and Ronaldo out Spain out Not to men,0,120,WorldCup,Castro1021,Castro1021,Dhiraj Ahuja,"New Delhi, India",22110,4119
1013596866133364736,en,2018-07-02 01:34:59,Twitter for Android,125,"RT @8Fact_Footballl: RAKITIC WINS IT FOR CROATIA! DENMARK ARE OUT!

#DEN ?????
#CRO ? ????

#WorldCup https://t.co/Gwh6iGbMkt",RAKITIC WINS IT FOR CROATIA DENMARK ARE OUT,0,162,"DEN,CRO,WorldCup",8Fact Football WC ?,8Fact_Footballl,Aldobudi,"Jakarta Pusat, DKI Jakarta",181,1924
1013596864892063750,en,2018-07-02 01:34:58,Twitter for iPad,140,"RT @ExoL94273553: @FIFAWorldCup Please play EXO’s Power. It is very motivational and energizing.

#FIFAStadiumDJ #WorldCup #EXO #?? @weareo…",Please play EXO Power It is very motivational and energizing,0,38,"FIFAStadiumDJ,WorldCup,EXO,??","EXO-L,FIFA World Cup ?","ExoL94273553,FIFAWorldCup",? EXO ?,? exo’s universe ?,22,32
1013596854678884353,en,2018-07-02 01:34:56,Twitter for Android,137,"RT @Oratiloe_Kego: #DateMyFamily #WorldCup #OurPerfectWedding This Made my day???...........!!! Wow, My God?????? https://t.co/XQmvbtnWe6",This Made my day Wow My God,0,774,"DateMyFamily,WorldCup,OurPerfectWedding",MY PINNED TWEET????,Oratiloe_Kego,Mntwana_WeSizwe_,"Johannesburg, South Africa ",806,949
1013596852732784641,en,2018-07-02 01:34:56,Twitter for iPad,133,"RT @maribexol: @FIFAWorldCup POWER ? by EXO @weareoneEXO
#WorldCup #FIFAStadiumDJ 
 
#dafBAMA2018EXO #?? #EXO https://t.co/D2kPBf7tQM",POWER by EXO,0,19,"WorldCup,FIFAStadiumDJ,dafBAMA2018EXO,??,EXO","Maribe?????,FIFA World Cup ?,EXO","maribexol,FIFAWorldCup,weareoneEXO",? EXO ?,? exo’s universe ?,22,32
1013596852569235458,en,2018-07-02 01:34:56,Twitter Web Client,137,"Don’t worry anymore, stop
Time is ticking, even now, tick tock #LayLeague #PowerByEXO #WorldCup #FIFAStadiumDJ @FIFAWorldCup @weareoneEXO",Don worry anymore stop Time is ticking even now tick tock,0,0,"LayLeague,PowerByEXO,WorldCup,FIFAStadiumDJ","FIFA World Cup ?,EXO","FIFAWorldCup,weareoneEXO",Minseok el inmortal,Mexico,115,4
1013596847946981376,en,2018-07-02 01:34:54,Twitter Web Client,144,"When you see me
When we feel the same feeling
Power power~

?????
#PowerByEXO #WorldCup #FIFAStadiumDJ #XiuminLeague 
@weareoneEXO @FIFAWorldCup",When you see me When we feel the same feeling Power power,0,1,"PowerByEXO,WorldCup,FIFAStadiumDJ,XiuminLeague","EXO,FIFA World Cup ?","weareoneEXO,FIFAWorldCup",Frida Carrillo,"Zapopan, Jalisco",17,89
1013596846508396544,en,2018-07-02 01:34:54,Twitter for Android,112,"RT @horololooooooo: Do Kyungso

Please play #PowerByEXO  of @weareoneEXO 
#FIFAStadiumDJ #WorldCup @FIFAWorldCup",Do Kyungso Please play of,0,14,"PowerByEXO,FIFAStadiumDJ,WorldCup","We Are One,EXO,FIFA World Cup ?","horololooooooo,weareoneEXO,FIFAWorldCup",yaquiii,todos lados ,17,57
1013596845636050944,en,2018-07-02 01:34:54,Twitter for Android,93,"RT @Football__Tweet: The contrast of emotions. ?

#WorldCup #ESP #RUS https://t.co/DRvlfXRnhT",The contrast of emotions,0,307,"WorldCup,ESP,RUS",?? vs ?? Football Tweet,Football__Tweet,Elvis Good,"Anambra, Nigeria",142,336
1013596841173061632,en,2018-07-02 01:34:53,Twitter for iPhone,113,"RT @SoccerMemes: When Croatia's #WorldCup dream hung in the balance, this man stepped up. https://t.co/JoR8La18X1",When Croatias dream hung in the balance this man stepped up,0,86,WorldCup,Soccer Memes,SoccerMemes,Gerson Ronaldo Arias,"Los Angeles, CA",116,241
1013596836425355264,en,2018-07-02 01:34:52,Twitter for Android,140,"RT @MandyJimenezK: Denle mucho amor a bunnys ??????.

Please play #PowerByEXO of
@weareoneEXO 

#WorldCup 
#FIFAStadiumDJ

@FIFAWorldCup
#S…",Denle mucho amor bunnys Please play of,0,6,"PowerByEXO,WorldCup,FIFAStadiumDJ","Amy ????????,EXO,FIFA World Cup ?","MandyJimenezK,weareoneEXO,FIFAWorldCup",Deerbearpedia~,L-1485,1095,701
1013596828921499649,en,2018-07-02 01:34:50,Twitter for Android,139,"RT @realmadriden: ?? Croatia 1-1 ?? Denmark (3-2 pens)
?? @lukamodric10
? @Mateo_Kova23
? Two more madridistas to quarter finals
#WorldCup…",Croatia Denmark pens Two more madridistas to quarter finals,0,558,WorldCup,"Real Madrid C.F. ????,Luka Modri?,Mateo Kova?i?","realmadriden,lukamodric10,Mateo_Kova23",.,"Yogyakarta, Indonesia",499,194
1013596826987945985,en,2018-07-02 01:34:49,Twitter Lite,84,"RT @streetongue: GERMAN OUT
ARGENTINA OUT
PORTUGAL OUT
SPANYOL OUT

WOOOOW #WorldCup",GERMAN OUT ARGENTINA OUT PORTUGAL OUT SPANYOL OUT WOOOOW,0,69,WorldCup,adnid ?,streetongue,Dayu Wiwid,"Bangli, Bali, Indonesia",521,409
1013596825641574400,en,2018-07-02 01:34:49,Twitter for Android,86,"RT @Saj_PakPassion: Confirmed quarter-finals so far:
#FRA v #URU
#RUS v #CRO
#WorldCup",Confirmed quarter finals so far,0,27,"FRA,URU,RUS,CRO,WorldCup",Saj Sadiq,Saj_PakPassion,Faysal Gill,Lahore,101,832
1013596823456567296,en,2018-07-02 01:34:49,Twitter Lite,140,"RT @GabylCl9: @FIFAWorldCup 
@weareoneEXO 
#PowerByEXO 
#WorldCup 
#FIFAStadiumDJ 
#ChenLeague 
 We got a POWER! POWER!??? https://t.co/Fr4…",We got POWER POWER,0,4,"PowerByEXO,WorldCup,FIFAStadiumDJ,ChenLeague","Gabriela Lizeth Cano,FIFA World Cup ?,EXO","GabylCl9,FIFAWorldCup,weareoneEXO",Guadalupe,Argentina,334,639
